# plant=hardware controller=adaptive_computed_torque payload_g=90
t,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,ee_x,ee_y,ee_z,estimated_payload_mass
0.0050000000000000001,0.0061359231515425647,0.078233020182167698,0.0061359231515425647,0.026077673394055902,0.02914563496982718,-0.17180584824319181,0,0,0,0,0,0,-0.013793854708500839,-1.0667706541563993,-0.80599219106200526,-0.32137559424833978,-0.038856115230227362,0.1962264147840545,0.40037303161873028,-0.0028485575024499239,0.21482105346479757,0.1862446417413065
0.01,0.0061359231515425647,0.078233020182167698,0.0061359231515425647,0.026077673394055902,0.027611654181941541,-0.17180584824319181,0,0,0,0,-0.30679615757712786,0,-0.0036462887631446006,-1.0585381476200539,-0.81164920217505665,-0.31673362936407168,-0.035566630760232316,0.19622303980359987,0.40037284069910201,-0.0028669538636191599,0.21482034977179695,0.1862446417413065
0.014999999999999999,0.0061359231515425647,0.078233020182167698,0.0061359231515425647,0.026077673394055902,0.027611654181941541,-0.17180584824319181,0,0,0,0,0,0,0.0058609017136235543,-1.0501617202877593,-0.81705267390381597,-0.31204964600086205,0.0039756174292537184,0.19621933076198952,0.40037284069910201,-0.0028669538636191599,0.21482034977179695,0.1862446417413065
0.02,0.0061359231515425647,0.078233020182167698,0.0061359231515425647,0.026077673394055902,0.027611654181941541,-0.17180584824319181,0,0,0,0,0,0,0.016345844947259529,-1.0422911116548386,-0.82280090285961838,-0.30757461119207802,-0.027330852121544985,0.19621631857009719,0.40037284069910201,-0.0028669538636191599,0.21482034977179695,0.1862446417413065
0.025000000000000001,0.0061359231515425647,0.078233020182167698,0.0061359231515425647,0.026077673394055902,0.027611654181941541,-0.17180584824319181,0,0,0,0,0,0,0.026228500543795139,-1.0342735404377734,-0.82831031006107358,-0.3030538145670158,-0.02412730072110069,0.19621306261496307,0.40037284069910201,-0.0028669538636191599,0.21482034977179695,0.1862446417413065
0.030000000000000002,0.0061359231515425647,0.076699039394282062,0.0061359231515425647,0.026077673394055902,0.027611654181941541,-0.17180584824319181,0,-0.30679615757712719,0,0,0,0,0.036035790899026136,-1.0263171113078278,-0.83377770246204097,-0.29856749358721002,-0.020948179639204659,0.19620983148977897,0.40022178585933943,-0.0028660269910985694,0.21532821040903929,0.1862446417413065
0.035000000000000003,0.0061359231515425647,0.076699039394282062,0.0061359231515425647,0.026077673394055902,0.027611654181941541,-0.17180584824319181,0,0,0,0,0,0,0.045881837353850263,-0.94628552014155753,-0.81393690357508919,-0.28384693037686942,-0.01759842842196219,0.1960853981404197,0.40022178585933943,-0.0028660269910985694,0.21532821040903929,0.1862446417413065
0.040000000000000001,0.0061359231515425647,0.075165058606396412,0.0061359231515425647,0.024543692606170259,0.027611654181941541,-0.17180584824319181,0,-0.30679615757712997,0,-0.30679615757712858,0,0,0.055423580954244489,-1.0064583189876173,-0.84348941195209015,-0.28923667682749155,-0.014647089391667086,0.19619966876933276,0.4000776505500096,-0.0028651425768178008,0.21608066067647519,0.1862446417413065
0.044999999999999998,0.0061359231515425647,0.075165058606396412,0.0061359231515425647,0.024543692606170259,0.027611654181941541,-0.17180584824319181,0,0,0,0,0,0,0.065097752952190752,-0.91741686370817943,-0.81463906597376756,-0.23419431701431548,-0.011267816464194225,0.19601618573241827,0.4000776505500096,-0.0028651425768178008,0.21608066067647519,0.1862446417413065
0.049999999999999996,0.0061359231515425647,0.073631077818510776,0.0061359231515425647,0.024543692606170259,0.027611654181941541,-0.17180584824319181,0,-0.30679615757712719,0,0,0,0,0.074559480556715588,-0.98635460919209583,-0.85267293698732094,-0.27811740647118882,-0.0084182981481665722,0.19618877458155809,0.39992466280198991,-0.00286420384397184,0.21658806700653671,0.1862446417413065
0.054999999999999993,0.0061359231515425647,0.073631077818510776,0.0061359231515425647,0.023009711818284616,0.027611654181941541,-0.17180584824319181,0,0,0,-0.30679615757712858,0,0,0.084154250126009481,-0.90648351367273883,-0.83269743823407594,-0.26348962470465953,-0.0051395964128159383,0.19606427425904621,0.39993161006294931,-0.0028642464723661809,0.21683291142032807,0.1862446417413065
0.059999999999999991,0.0061359231515425647,0.07209709703062514,0.0061359231515425647,0.023009711818284616,0.027611654181941541,-0.17180584824319181,0,-0.30679615757712719,0,0,0,0,0.093465949203628482,-0.95714328374041469,-0.85319207194707647,-0.22859923088378581,-0.0021840706759725602,0.19612226942330771,0.39977746857073965,-0.0028633006601456882,0.2173400928378994,0.1862446417413065
0.064999999999999988,0.0061359231515425647,0.07209709703062514,0.0061359231515425647,0.023009711818284616,0.027611654181941541,-0.17180584824319181,0,0,0,0,0,0,0.1029860392485113,-0.88656995098204883,-0.84171310151877954,-0.25247907880563869,0.0010028208687404695,0.19605324706704458,0.39977746857073965,-0.0028633006601456882,0.2173400928378994,0.1862446417413065
0.069999999999999993,0.0061359231515425647,0.07209709703062514,0.0046019423636569235,0.023009711818284616,0.027611654181941541,-0.17180584824319181,0,0,-0.30679615757712825,0,0,0,0.11224010818544411,-0.94698226091654969,-0.8711242707273672,-0.25800100230333228,0.0038664960212172516,0.19616777898165383,0.39979172603836116,-0.0028633881439692594,0.21779188811357009,0.1862446417413065
0.074999999999999997,0.0061359231515425647,0.07209709703062514,0.0030679615757712823,0.023009711818284616,0.027611654181941541,-0.17180584824319181,0,0,-0.30679615757712825,0,0,0,0.12155414643208383,-0.91567042904899032,-0.81871846403082515,-0.24474345368700495,0.0070750230692377533,0.19604661394930972,0.39980529045725333,-0.0028634713752457215,0.21824370472876639,0.1862446417413065
