# plant=hardware controller=pd payload_g=151
t,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,ee_x,ee_y,ee_z,estimated_payload_mass
0.0050000000000000001,0.0076699039394282058,0.085902924121595906,0.013805827090970771,0.02914563496982718,0.027611654181941541,-0.23009711818284617,0,0,0,0,0,0,-0.061359231515425647,-1.0308350894591509,-0.027611654181941541,-0.23316507975861744,-0.22089323345553233,0,0.40096944961023295,-0.0034261549316449949,0.20953127751012462,nan
0.01,0.0076699039394282058,0.085902924121595906,0.013805827090970771,0.02914563496982718,0.027611654181941541,-0.23009711818284617,0,0,0,0,0,0,-0.061353276425425644,-1.0308246680516508,-0.02761363921194154,-0.23316011718361745,-0.22088926339553233,0,0.40096944961023295,-0.0034261549316449949,0.20953127751012462,nan
0.014999999999999999,0.0076699039394282058,0.085902924121595906,0.013805827090970771,0.02914563496982718,0.027611654181941541,-0.23009711818284617,0,0,0,0,0,0,-0.061311948635425648,-1.0307523444191509,-0.027627415141941541,-0.23312567735861744,-0.22086171153553233,0,0.40096944961023295,-0.0034261549316449949,0.20953127751012462,nan
0.02,0.0076699039394282058,0.085902924121595906,0.013805827090970771,0.02914563496982718,0.027611654181941541,-0.23009711818284617,0,0,0,0,0,0,-0.061200854645425649,-1.030557929936651,-0.02766444647194154,-0.23303309903361744,-0.22078764887553232,0,0.40096944961023295,-0.0034261549316449949,0.20953127751012462,nan
0.025000000000000001,0.0076699039394282058,0.085902924121595906,0.013805827090970771,0.02914563496982718,0.027611654181941541,-0.23009711818284617,0,0,0,0,0,0,-0.060986659355425646,-1.0301830881791509,-0.027735844901941541,-0.23285460295861746,-0.22064485201553233,0,0.40096944961023295,-0.0034261549316449949,0.20953127751012462,nan
0.030000000000000002,0.0076699039394282058,0.085902924121595906,0.013805827090970771,0.02914563496982718,0.027611654181941541,-0.23009711818284617,0,0,0,0,0,0,-0.060637075265425645,-1.0295713160216509,-0.027852372931941542,-0.23256328288361744,-0.22041179595553234,0,0.40096944961023295,-0.0034261549316449949,0.20953127751012462,nan
0.035000000000000003,0.0076699039394282058,0.085902924121595906,0.013805827090970771,0.02914563496982718,0.027611654181941541,-0.23009711818284617,0,0,0,0,0,0,-0.060120851675425649,-1.028667924739151,-0.028024447461941542,-0.23213309655861744,-0.22006764689553232,0,0.40096944961023295,-0.0034261549316449949,0.20953127751012462,nan
0.040000000000000001,0.0076699039394282058,0.085902924121595906,0.013805827090970771,0.02914563496982718,0.027611654181941541,-0.23009711818284617,0,0,0,0,0,0,-0.059407763885425645,-1.0274200211066509,-0.028262143391941542,-0.23153885673361743,-0.21959225503553234,0,0.40096944961023295,-0.0034261549316449949,0.20953127751012462,nan
0.044999999999999998,0.0076699039394282058,0.085902924121595906,0.013805827090970771,0.02914563496982718,0.027611654181941541,-0.23009711818284617,0,0,0,0,0,0,-0.058468602395425645,-1.0257764884991509,-0.028575197221941542,-0.23075622215861744,-0.21896614737553233,0,0.40096944961023295,-0.0034261549316449949,0.20953127751012462,nan
0.049999999999999996,0.0076699039394282058,0.085902924121595906,0.013805827090970771,0.02914563496982718,0.027611654181941541,-0.23009711818284617,0,0,0,0,0,0,-0.057275162105425645,-1.0236879679916508,-0.028973010651941543,-0.22976168858361745,-0.21817052051553232,0,0.40096944961023295,-0.0034261549316449949,0.20953127751012462,nan
0.054999999999999993,0.0076699039394282058,0.08436894333371027,0.013805827090970771,0.02914563496982718,0.027611654181941541,-0.23009711818284617,0,-0.30679615757712719,0,0,0,0,-0.055800231515425645,-1.0211068394591507,-0.029464654181941542,-0.22853257975861743,-0.21718723345553234,0,0.40082650875579512,-0.0034250585675235905,0.21004006698232092,nan
0.059999999999999991,0.0076699039394282058,0.08283496254582462,0.013805827090970771,0.02914563496982718,0.027611654181941541,-0.23009711818284617,0,-0.30679615757712997,0,0,0,0,-0.054017581925425648,-0.99957943322202336,-0.030058870711941542,-0.22704703843361745,-0.21599880039553232,0,0.40068278761952125,-0.0034239562185981046,0.21054863658101355,nan
0.064999999999999988,0.0076699039394282058,0.08283496254582462,0.013805827090970771,0.027611654181941541,0.027611654181941541,-0.23009711818284617,0,0,0,-0.30679615757712786,0,0,-0.051901956635425649,-0.97746931950989546,-0.030764079141941542,-0.22528401735861744,-0.21458838353553233,0,0.40069499085887728,-0.0034240498181071274,0.21079327534614536,nan
0.069999999999999993,0.0076699039394282058,0.08283496254582462,0.013805827090970771,0.027611654181941541,0.027611654181941541,-0.23009711818284617,0,0,0,0,0,0,-0.049429060145425641,-0.97314175065239539,-0.031588377971941542,-0.21095142398053232,-0.21293978587553233,0,0.40069499085887728,-0.0034240498181071274,0.21079327534614536,nan
0.074999999999999997,0.0076699039394282058,0.081300981757938984,0.013805827090970771,0.027611654181941541,0.027611654181941541,-0.23009711818284617,0,-0.30679615757712719,0,0,0,0,-0.046575547355425642,-0.96814810326989553,-0.032539548901941544,-0.20857349665553232,-0.21103744401553232,0,0.40055011450461903,-0.003422938608596925,0.21130164230686982,nan
0.080000000000000002,0.0076699039394282058,0.081300981757938984,0.013805827090970771,0.027611654181941541,0.027611654181941541,-0.23009711818284617,0,0,0,0,0,0,-0.043319012765425643,-0.94404139828276779,-0.033625060431941543,-0.20585971783053233,-0.20886642095553232,0,0.40055011450461903,-0.003422938608596925,0.21130164230686982,nan
