# plant=hardware controller=position_stream
t,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,ee_x,ee_y,ee_z
0.0050000000000000001,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014999999999999999,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025000000000000001,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.030000000000000002,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.035000000000000003,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.040000000000000001,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.044999999999999998,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.049999999999999996,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.054999999999999993,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.059999999999999991,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.064999999999999988,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.069999999999999993,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.074999999999999997,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.080000000000000002,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.085000000000000006,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.090000000000000011,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.095000000000000015,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10000000000000002,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10500000000000002,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11000000000000003,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11500000000000003,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12000000000000004,0.0061359231515425647,0.052155346788111803,0.044485442848683596,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12500000000000003,0.0061359231515425647,0.052155346788111803,0.042951462060797953,0.015339807878856412,0.027611654181941541,0.0015339807878856412,0,0,-0.30679615757712858,0,0,0,0,0,0,0,0,0,0,0,0
