# plant=hardware controller=adaptive_computed_torque payload_g=70 estimator=static_id mass_cal_scale=2.31501 mass_cal_offset=-0.012290000000000001 rt_fifo=1 rt_mlockall=1 stale_reads=0 failed_writes=0 tick_clamps=0 lead_saturations=0 late_ticks=0 max_late_us=0 bus_timeouts=0 bus_checksum_errors=0
t,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,ee_x,ee_y,ee_z,estimated_payload_mass,compensated_payload_mass
0.0050000000000000001,0.0061359231515425647,0.073631077818510776,0.0076699039394282058,0.024543692606170259,0.030679615757712823,-0.013805827090970771,0,0,0,0,0,0,-0.012945615595820198,-0.94723954567643498,-0.7096610900623106,-0.26696019510414987,-0.040712126346262582,0.019327272588434901,0.39990901615403157,-0.0028273117063898588,0.21613770856998601,0.11905183046441659,0.056734886874966667
0.01,0.0061359231515425647,0.073631077818510776,0.0076699039394282058,0.024543692606170259,0.030679615757712823,-0.013805827090970771,0,0,0,0,0,0,-0.0034835584609476506,-0.93929107215274577,-0.71550688600235901,-0.26242059138773799,-0.037405086774793886,0.019322332016914516,0.39990901615403157,-0.0028273117063898588,0.21613770856998601,0.11905183046441659,0.056734886874966667
0.014999999999999999,0.0061359231515425647,0.073631077818510776,0.0076699039394282058,0.024543692606170259,0.030679615757712823,-0.013805827090970771,0,0,0,0,0,0,0.0058899372199848572,-0.93141699348440676,-0.72129796739349872,-0.25792347673049232,-0.034128999905101542,0.019317437687367829,0.39990901615403157,-0.0028273117063898588,0.21613770856998601,0.11905183046441659,0.056734886874966667
0.02,0.0061359231515425647,0.073631077818510776,0.0076699039394282058,0.024543692606170259,0.030679615757712823,-0.013805827090970771,0,0,0,0,0,0,0.015181188656527688,-0.9236120029847068,-0.72703823709928361,-0.25346582032975079,-0.030881657838663423,0.019312586301291651,0.39990901615403157,-0.0028273117063898588,0.21613770856998601,0.11905183046441659,0.056734886874966667
0.025000000000000001,0.0061359231515425647,0.07209709703062514,0.0076699039394282058,0.024543692606170259,0.030679615757712823,-0.013805827090970771,0,-0.30679615757712719,0,0,0,0,0.024520371722354616,-0.84828729870038766,-0.71118649460353622,-0.24080166383837359,-0.02746148618336848,0.019173945060763305,0.39975594109599311,-0.0028263724378096134,0.21664485579989889,0.11905183046441659,0.056734886874966667
0.030000000000000002,0.0061359231515425647,0.07209709703062514,0.0076699039394282058,0.024543692606170259,0.030679615757712823,-0.013805827090970771,0,0,0,0,0,0,0.033529202467414483,-0.90433199422520016,-0.73743504301902008,-0.24429617699745665,-0.024456279886698889,0.019297763102082151,0.39975594109599311,-0.0028263724378096134,0.21664485579989889,0.11905183046441659,0.056734886874966667
0.035000000000000003,0.0061359231515425647,0.07209709703062514,0.0076699039394282058,0.024543692606170259,0.030679615757712823,-0.013805827090970771,0,0,0,0,0,0,0.042604544868462178,-0.8967042018139485,-0.74304485842869961,-0.23993974845204047,-0.021282644133136408,0.019293021786639653,0.39975594109599311,-0.0028263724378096134,0.21664485579989889,0.11905183046441659,0.056734886874966667
0.040000000000000001,0.0061359231515425647,0.07209709703062514,0.0076699039394282058,0.024543692606170259,0.030679615757712823,-0.013805827090970771,0,0,0,0,0,0,0.05162074712798332,-0.88912611647740547,-0.74861811706039727,-0.23561170889618982,-0.018129689612228887,0.019288311368330723,0.39975594109599311,-0.0028263724378096134,0.21664485579989889,0.11905183046441659,0.056734886874966667
0.044999999999999998,0.0061359231515425647,0.07209709703062514,0.0076699039394282058,0.024543692606170259,0.030679615757712823,-0.013805827090970771,0,0,0,0,0,0,0.060583039680474293,-0.88159334205432571,-0.75415805204524355,-0.23130954756908287,-0.014995587247651605,0.019283629114570863,0.39975594109599311,-0.0028263724378096134,0.21664485579989889,0.11905183046441659,0.056734886874966667
0.049999999999999996,0.0061359231515425647,0.07209709703062514,0.0076699039394282058,0.023009711818284616,0.030679615757712823,-0.013805827090970771,0,0,0,-0.30679615757712858,0,0,0.069476811423204429,-0.86634916485400826,-0.75250395231014,-0.18763307425186304,-0.011806630956765339,0.019219759802736703,0.39976288623954803,-0.0028264150532115607,0.21688970043372519,0.11905183046441659,0.056734886874966667
0.054999999999999993,0.0061359231515425647,0.07209709703062514,0.0076699039394282058,0.023009711818284616,0.030679615757712823,-0.013805827090970771,0,0,0,0,0,0,0.078366585765196936,-0.86630051555089671,-0.76483193001804961,-0.22092004098655518,-0.0087743040628449794,0.019272518170789753,0.39976288623954803,-0.0028264150532115607,0.21688970043372519,0.11905183046441659,0.056734886874966667
0.059999999999999991,0.0061359231515425647,0.07209709703062514,0.0076699039394282058,0.021475731030398976,0.030679615757712823,-0.013805827090970771,0,0,0,-0.30679615757712786,0,0,0.087177670980794528,-0.85111655226492733,-0.7631227660963269,-0.17728083248606377,-0.0056144003882650888,0.019208647611822324,0.39976945579518486,-0.0028264553640059828,0.21713455543339311,0.11905183046441659,0.056734886874966667
0.064999999999999988,0.0061359231515425647,0.07056311624273949,0.0061359231515425647,0.021475731030398976,0.030679615757712823,-0.013805827090970771,0,-0.30679615757712997,-0.30679615757712825,0,0,0,0.095986501707546037,-0.76473042460793739,-0.69948532850506884,-0.19515495409009645,-0.0022322149077828217,0.019002286880522821,0.39962873151839445,-0.0028255918798214133,0.21809329210630415,0.11905183046441659,0.056734886874966667
0.069999999999999993,0.0061359231515425647,0.07056311624273949,0.0061359231515425647,0.021475731030398976,0.030679615757712823,-0.013805827090970771,0,0,0,0,0,0,0.104709909715653,-0.83899076368510339,-0.77732721887758172,-0.20570801530108854,0.00047349235217226889,0.019246675639777781,0.39962873151839445,-0.0028255918798214133,0.21809329210630415,0.11905183046441659,0.056734886874966667
0.074999999999999997,0.0061359231515425647,0.07056311624273949,0.0046019423636569235,0.021475731030398976,0.030679615757712823,-0.013805827090970771,0,0,-0.30679615757712825,0,0,0,0.11340155247910375,-0.81146895364851113,-0.72837073065518021,-0.19433029492466924,0.003704014070053439,0.019119902906322074,0.39964191818724915,-0.0028256727932235858,0.21854511756906023,0.11905183046441659,0.056734886874966667
0.080000000000000002,0.0061359231515425647,0.07056311624273949,0.0030679615757712823,0.021475731030398976,0.030679615757712823,-0.013805827090970771,0,0,-0.30679615757712825,0,0,0,0.12211625951225877,-0.80319853402223895,-0.73120048542404714,-0.18981863692860906,0.0067594864275151486,0.019110377668507018,0.39965441176232874,-0.002825749453802243,0.21899696272869135,0.11905183046441659,0.056734886874966667
0.085000000000000006,0.0061359231515425647,0.07056311624273949,0.0015339807878856412,0.021475731030398976,0.030679615757712823,-0.013805827090970771,0,0,-0.30679615757712825,0,0,0,0.13081231404078822,-0.79493655524494355,-0.73401233884828354,-0.18531424284417483,0.0098083088983447284,0.019100830145485304,0.39966621221423471,-0.0028258218613769976,0.21944882652196221,0.11905183046441659,0.056734886874966667
0.090000000000000011,0.0061359231515425647,0.07056311624273949,0,0.021475731030398976,0.030679615757712823,-0.013805827090970771,0,0,-0.30679615757712825,0,0,0,0.13949312996537677,-0.78668012351698713,-0.73680844212443253,-0.18081545556100115,0.012851691552878425,0.019091258581581127,0.39967731951519947,-0.0028258900157774706,0.21990070788559371,0.11905183046441659,0.056734886874966667
0.095000000000000015,0.0061359231515425647,0.07056311624273949,-0.0030679615757712823,0.021475731030398976,0.030679615757712823,-0.013805827090970771,0,0,-0.6135923151542565,0,0,0,0.14807347350495642,-0.75952279790681065,-0.68522090592425755,-0.1691236009739609,0.016066721334525681,0.018956497627461287,0.39969745456139022,-0.00282601356442407,0.22080451907061763,0.11905183046441659,0.056734886874966667
