# plant=hardware controller=pd payload_g=180
t,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,ee_x,ee_y,ee_z,estimated_payload_mass,compensated_payload_mass
0.0050000000000000001,0.0076699039394282058,0.12885438618239387,0.036815538909255388,0.033747577333484102,0.030679615757712823,-0.078233020182167698,0,0,0,0,0,0,-0.061359231515425647,-1.5462526341887264,-0.073631077818510776,-0.26998061866787282,-0.24543692606170259,0,0.40380996779863254,-0.003411145341125018,0.18773466060139579,nan,nan
0.01,0.0076699039394282058,0.12885438618239387,0.036815538909255388,0.033747577333484102,0.030679615757712823,-0.078233020182167698,0,0,0,0,0,0,-0.061353276425425644,-1.5462422127812263,-0.073633062848510775,-0.26997565609287283,-0.24543295600170259,0,0.40380996779863254,-0.003411145341125018,0.18773466060139579,nan,nan
0.014999999999999999,0.0076699039394282058,0.12885438618239387,0.036815538909255388,0.033747577333484102,0.030679615757712823,-0.078233020182167698,0,0,0,0,0,0,-0.061311948635425648,-1.5461698891487261,-0.073646838778510776,-0.26994121626787282,-0.24540540414170259,0,0.40380996779863254,-0.003411145341125018,0.18773466060139579,nan,nan
0.02,0.0076699039394282058,0.12885438618239387,0.036815538909255388,0.033747577333484102,0.030679615757712823,-0.078233020182167698,0,0,0,0,0,0,-0.061200854645425649,-1.5459754746662264,-0.073683870108510782,-0.26984863794287284,-0.24533134148170258,0,0.40380996779863254,-0.003411145341125018,0.18773466060139579,nan,nan
0.025000000000000001,0.0076699039394282058,0.12885438618239387,0.036815538909255388,0.033747577333484102,0.030679615757712823,-0.078233020182167698,0,0,0,0,0,0,-0.060986659355425646,-1.5456006329087264,-0.073755268538510776,-0.2696701418678728,-0.24518854462170259,0,0.40380996779863254,-0.003411145341125018,0.18773466060139579,nan,nan
0.030000000000000002,0.0076699039394282058,0.12885438618239387,0.036815538909255388,0.033747577333484102,0.030679615757712823,-0.078233020182167698,0,0,0,0,0,0,-0.060637075265425645,-1.5449888607512263,-0.07387179656851077,-0.26937882179287281,-0.2449554885617026,0,0.40380996779863254,-0.003411145341125018,0.18773466060139579,nan,nan
0.035000000000000003,0.0076699039394282058,0.12885438618239387,0.036815538909255388,0.033747577333484102,0.030679615757712823,-0.078233020182167698,0,0,0,0,0,0,-0.060120851675425649,-1.5440854694687263,-0.07404387109851078,-0.26894863546787284,-0.24461133950170258,0,0.40380996779863254,-0.003411145341125018,0.18773466060139579,nan,nan
0.040000000000000001,0.0076699039394282058,0.12885438618239387,0.036815538909255388,0.033747577333484102,0.030679615757712823,-0.078233020182167698,0,0,0,0,0,0,-0.059407763885425645,-1.5428375658362263,-0.07428156702851077,-0.26835439564287283,-0.2441359476417026,0,0.40380996779863254,-0.003411145341125018,0.18773466060139579,nan,nan
0.044999999999999998,0.0076699039394282058,0.12732040539450823,0.036815538909255388,0.033747577333484102,0.030679615757712823,-0.078233020182167698,0,-0.30679615757712719,0,0,0,0,-0.058468602395425645,-1.5411940332287264,-0.074594620858510777,-0.26757176106787284,-0.24350983998170259,0,0.4037004581975262,-0.0034103053965334256,0.18824783271222731,nan,nan
0.049999999999999996,0.0076699039394282058,0.12732040539450823,0.036815538909255388,0.033747577333484102,0.030679615757712823,-0.078233020182167698,0,0,0,0,0,0,-0.057275162105425645,-1.5206977432665989,-0.074992434288510781,-0.26657722749287283,-0.24271421312170258,0,0.4037004581975262,-0.0034103053965334256,0.18824783271222731,nan,nan
0.054999999999999993,0.0076699039394282058,0.12732040539450823,0.036815538909255388,0.033747577333484102,0.02914563496982718,-0.078233020182167698,0,0,0,0,-0.30679615757712858,0,-0.055800231515425645,-1.5181166147340988,-0.07548407781851077,-0.26534811866787283,-0.2417309260617026,0,0.40370018344793557,-0.0034287020811104136,0.18824716619317294,nan,nan
0.059999999999999991,0.0076699039394282058,0.12732040539450823,0.036815538909255388,0.033747577333484102,0.027611654181941541,-0.078233020182167698,0,0,0,0,-0.30679615757712786,0,-0.054017581925425648,-1.5149969779515988,-0.07607829434851078,-0.26386257734287283,-0.22827064669861744,0,0.40369990315842808,-0.0034470976587412379,0.18824647200311764,nan,nan
0.064999999999999988,0.0076699039394282058,0.12732040539450823,0.036815538909255388,0.033747577333484102,0.026077673394055902,-0.078233020182167698,0,0,0,0,-0.30679615757712786,0,-0.051901956635425649,-1.5112946336940989,-0.076783502778510773,-0.26209955626787285,-0.21458838353553233,0,0.4036996173296632,-0.003465492086139328,0.18824575014369496,nan,nan
0.069999999999999993,0.0076699039394282058,0.12578642460662257,0.036815538909255388,0.033747577333484102,0.024543692606170259,-0.078233020182167698,0,-0.30679615757713274,0,0,-0.30679615757712858,0,-0.049429060145425641,-1.5069670648365987,-0.077607801608510774,-0.26003880919287281,-0.20066793957244722,0,0.40358903366227344,-0.0034830393720858793,0.18875800326541523,nan,nan
